notation,label,broader
root,日本十進分類法新訂10版,
0,総記（情報学、図書館、図書、百科事典、一般論文集、逐次刊行物、団体、ジャーナリズム、叢書）,root
1,哲学（哲学、心理学、倫理学、宗教）,root
2,歴史（歴史、伝記、地理）,root
3,社会科学（政治、法律、経済、統計、社会、教育、風俗習慣、国防）,root
4,自然科学（数学、理学、医学）,root
5,技術（工学、工業、家政学）,root
6,産業（農林水産業、商業、運輸、通信）,root
7,芸術（美術、音楽、演劇、スポーツ、諸芸、娯楽）,root
8,言語,root
9,文学,root
00,総記,0
01,図書館、図書館情報学,00
02,図書、書誌学,00
03,百科事典、用語索引,00
04,一般論文集、一般講演集、雑著,00
05,逐次刊行物、一般年鑑,00
06,団体、博物館,00
07,ジャーナリズム、新聞,00
08,叢書、全集、選集,00
09,貴重書、郷土資料、その他の特別コレクション,00
10,哲学,1
11,哲学各論,10
12,東洋思想,10
13,西洋哲学,10
14,心理学,10
15,倫理学、道徳,10
16,宗教,1
17,神道,16
18,仏教,16
19,キリスト教、ユダヤ教,16
20,歴史、世界史、文化史,2
21,日本史,20
22,アジア史、東洋史,20
23,ヨーロッパ史、西洋史,20
24,アフリカ史,20
25,北アメリカ史,20
26,南アメリカ史,20
27,オセアニア史、両極地方史,20
28,伝記,20
29,地理、地誌、紀行,2
30,社会科学,3
31,政治,30
32,法律,30
33,経済,30
34,財政,30
35,統計,30
36,社会,30
37,教育,30
38,風俗習慣、民俗学、民族学,30
39,国防、軍事,30
40,自然科学,4
41,数学,40
42,物理学,40
43,化学,40
44,天文学、宇宙科学,40
45,地球科学、地学,40
46,生物科学、一般生物学,40
47,植物学,46
48,動物学,46
49,医学、薬学,4
50,技術、工学,5
51,建設工学、土木工学,50
52,建築学,50
53,機械工学、原子力工学,50
54,電気工学,50
55,海洋工学、船舶工学、兵器、軍事工学,50
56,金属工学、鉱山工学,50
57,化学工業,50
58,製造工業,50
59,家政学、生活科学,5
60,産業,6
61,農業,60
62,園芸、造園,60
63,蚕糸業,60
64,畜産業、獣医学,60
65,林業、狩猟,60
66,水産業,60
67,商業,60
68,運輸、交通、観光事業,60
69,通信事業,60
70,芸術、美術,7
71,彫刻、オブジェ,70
72,絵画、書、書道,70
73,版画、印章、篆刻、印譜,70
74,写真、印刷,70
75,工芸,70
76,音楽、舞踊、バレエ,70
77,演劇、映画、大衆芸能,70
78,スポーツ、体育,7
79,諸芸、娯楽,7
80,言語,8
81,日本語,80
82,中国語、その他の東洋の諸言語,80
83,英語,80
84,ドイツ語、その他のゲルマン諸語,80
85,フランス語、プロバンス語,80
86,スペイン語、ポルトガル語,80
87,イタリア語、その他のロマンス諸語,80
88,ロシア語、その他のスラブ諸語,80
89,その他の諸言語,80
90,文学,9
91,日本文学,90
